,AREA,PERIMETER,MAJOR_AXIS,MINOR_AXIS,ECCENTRICITY,SOLIDITY,EXTENT,ASPECT_RATIO,ROUNDNESS,COMPACTNESS,SHAPEFACTOR_1,SHAPEFACTOR_2,SHAPEFACTOR_4,MeanRR,MeanRG,MeanRB,StdDevRR,StdDevRG,StdDevRB,SkewRR,SkewRG,SkewRB,KurtosisRR,KurtosisRG,KurtosisRB,EntropyRR,EntropyRG,EntropyRB,Labeled Class
13,340451,2098.1631,724.4111,600.3284,0.5597,0.9971,0.7813,1.2067,0.9718,0.9089,0.0021,0.0018,0.9968,107.3958,100.5165,82.5208,29.4969,26.4651,32.049,-0.1721,0.4735,1.1704,2.4762,2.7434,4.2934,-40366313472,-34643922944,-24675141632,0
15,386374,2265.666,826.3535,597.2911,0.6911,0.9968,0.7588,1.3835,0.9459,0.8488,0.0021,0.0015,0.9967,99.8192,106.3491,101.617,32.2198,25.3255,29.0465,-0.1377,0.188,0.3186,2.1798,2.8977,3.0467,-40311578624,-43843469312,-40872857600,0
16,413069,2350.4109,821.2114,645.8047,0.6177,0.9917,0.7485,1.2716,0.9396,0.8831,0.002,0.0016,0.9917,88.371,90.0463,90.8947,24.8495,21.8226,27.3544,-0.0759,0.5432,0.8528,3.3222,4.7191,4.9055,-31950346240,-32516476928,-34531393536,0
18,358545,2199.5081,775.7432,593.731,0.6436,0.9911,0.7306,1.3066,0.9313,0.871,0.0022,0.0017,0.9912,100.5985,97.7526,89.3394,29.3907,24.3398,31.7931,0.2079,0.8914,1.4118,3.6705,4.9932,6.3766,-37246021632,-34006181888,-30142908416,0
23,306560,2015.198,715.4261,547.121,0.6443,0.9952,0.7464,1.3076,0.9486,0.8733,0.0023,0.0018,0.9972,86.9794,92.3766,89.4656,26.5432,21.4762,26.9922,-0.1527,0.3845,0.601,2.4484,2.8885,3.4913,-23275982848,-25388687360,-24747624448,0
24,354590,2181.739,772.2312,587.454,0.6491,0.9954,0.7594,1.3145,0.9361,0.8701,0.0022,0.0017,0.9952,84.314,92.741,92.8555,14.5564,14.2419,21.4316,-0.5375,1.4213,0.9063,5.2871,8.4253,5.1881,-23241650176,-28505825280,-29686788096,0
26,356022,2170.3101,756.3358,603.8934,0.6021,0.9942,0.7885,1.2524,0.9498,0.8902,0.0021,0.0017,0.9925,97.0639,97.1161,89.7092,27.4554,18.6643,24.1319,-0.0673,0.4954,0.8883,2.4051,3.7038,5.0788,-33941866496,-32242589696,-28275976192,0
27,394859,2315.978,863.4825,583.743,0.7369,0.9969,0.7776,1.4792,0.9251,0.8212,0.0022,0.0015,0.9974,104.8062,96.919,93.0346,27.1217,21.8502,25.3584,-0.389,0.2085,0.5615,2.7184,3.4655,4.7545,-43898953728,-36220506112,-34062194688,0
32,347694,2187.4561,791.2161,563.1738,0.7024,0.9898,0.74,1.4049,0.9131,0.8409,0.0023,0.0016,0.9935,91.4126,98.5578,94.5405,24.6937,22.4851,24.8803,-0.3446,-0.0349,0.1471,2.8234,2.8912,3.6091,-28767764480,-33144877056,-30875068416,0
33,423905,2363.958,836.8923,646.8287,0.6345,0.9969,0.765,1.2938,0.9532,0.8778,0.002,0.0015,0.9971,105.7638,99.7526,89.5743,29.2029,25.1823,29.4296,-0.2421,0.2699,1.0432,2.9209,3.7173,5.7463,-48629661696,-42112163840,-35035365376,0
40,426661,2412.625,845.353,645.3922,0.6459,0.9891,0.783,1.3098,0.9211,0.8719,0.002,0.0015,0.9957,106.7112,106.5358,102.9901,27.6101,17.5812,25.2811,-0.5655,0.7544,0.6838,3.3343,6.1684,5.1464,-49347264512,-46849757184,-45315260416,0
41,439197,2437.428,829.2604,677.1343,0.5773,0.9893,0.7607,1.2247,0.929,0.9018,0.0019,0.0015,0.9959,115.9496,112.008,101.2594,27.022,20.3893,24.0848,-0.5571,0.393,0.7029,3.62,4.0908,6.1312,-60103352320,-54276861952,-44722860032,0
42,442845,2422.366,836.9063,677.0573,0.5878,0.9941,0.7601,1.2361,0.9484,0.8972,0.0019,0.0015,0.9951,101.4155,101.7015,90.9381,31.6708,27.382,30.599,-0.0159,0.5115,1.0843,3.0302,3.8602,6.1086,-47491162112,-46423900160,-38083399680,0
45,453074,2464.8979,855.7032,681.0208,0.6055,0.9948,0.7757,1.2565,0.9371,0.8876,0.0019,0.0015,0.9899,105.4471,97.967,91.6094,25.6708,21.4894,29.0892,-0.3463,0.3953,0.8042,3.2829,3.7184,4.4421,-50583461888,-42424696832,-39009394688,0
46,409032,2313.9509,804.1159,650.1132,0.5885,0.9947,0.7422,1.2369,0.96,0.8975,0.002,0.0016,0.9962,78.7944,84.1383,91.0917,23.895,20.773,27.4148,0.2039,0.9941,0.6975,3.7212,6.0546,4.7024,-24917446656,-27784316928,-34348648448,0
47,429203,2362.936,831.4949,658.4715,0.6106,0.9971,0.7487,1.2628,0.966,0.8891,0.0019,0.0015,0.9981,80.8682,81.3765,85.5402,20.9225,20.6097,27.9409,-0.7113,0.3724,0.6058,3.892,4.6949,4.1859,-26841032704,-27160780800,-31955101696,0
48,453763,2476.709,851.0314,684.578,0.5941,0.9909,0.8015,1.2431,0.9296,0.8931,0.0019,0.0015,0.9917,107.0736,102.9107,101.3278,30.3693,26.271,32.9843,-0.0157,0.5483,1.0759,3.5008,4.5735,5.445,-53771833344,-48395264000,-49153339392,0
50,288730,1997.627,740.3677,497.8095,0.7402,0.9891,0.762,1.4873,0.9092,0.8189,0.0026,0.0017,0.9975,92.7921,93.8139,91.3814,27.2088,24.8541,32.1713,-0.1788,0.6322,0.867,3.3175,4.3363,4.4081,-25085745152,-25247483904,-25406605312,0
52,383504,2288.917,784.1191,626.8956,0.6007,0.9907,0.7753,1.2508,0.9199,0.8912,0.002,0.0016,0.9934,79.753,82.0603,78.3742,22.469,21.4977,29.5617,0.7062,1.6066,1.4604,4.8731,7.3418,5.8937,-23654332416,-24897929216,-24566759424,0
54,438436,2417.197,860.3224,652.1378,0.6522,0.997,0.7464,1.3192,0.943,0.8685,0.002,0.0015,0.995,111.5693,105.2123,91.8468,28.219,26.5826,26.5364,-0.6699,-0.0898,0.6969,3.1126,2.7094,4.8682,-55746183168,-48994922496,-37177774080,0
56,454917,2485.562,869.7584,672.0792,0.6347,0.9927,0.7387,1.2941,0.9253,0.875,0.0019,0.0015,0.9909,110.813,107.6579,100.7983,27.9017,20.7423,25.8809,-0.3972,0.2725,0.6269,2.8257,3.3967,4.289,-56959090688,-51762262016,-46391058432,0
57,392588,2274.2759,803.3082,625.8399,0.6269,0.9973,0.7623,1.2836,0.9538,0.8801,0.002,0.0016,0.9943,94.8638,99.2536,97.3874,26.7869,20.4685,23.7467,0.1458,0.6951,0.8957,2.9783,4.9829,6.3596,-35574280192,-37579722752,-36809195520,0
59,294273,2004.96,735.2715,510.9962,0.719,0.9922,0.7693,1.4389,0.9199,0.8325,0.0025,0.0017,0.9972,88.9474,86.7787,78.4034,27.4622,25.0674,29.7409,0.0067,0.5926,1.0261,2.9314,3.9662,4.7676,-23546138624,-22000007168,-18878205952,0
63,433338,2423.301,836.3414,664.9469,0.6065,0.9932,0.756,1.2578,0.9273,0.8881,0.0019,0.0015,0.9921,105.1259,99.3634,89.1057,27.4703,24.5953,27.5458,-0.3249,0.4979,1.0723,3.6208,4.0745,6.1444,-48579203072,-42560143360,-34883911680,0
64,500669,2580.3069,913.3773,702.0745,0.6397,0.9948,0.7571,1.301,0.945,0.8741,0.0018,0.0014,0.9941,92.6164,83.3659,80.8303,23.6541,21.1765,30.9812,0.0466,1.2064,1.2724,4.0502,6.2261,5.9918,-42263990272,-33475536896,-34506137600,0
65,230122,1804.354,649.0608,454.532,0.7139,0.9883,0.8192,1.428,0.8882,0.834,0.0028,0.002,0.9932,132.2255,126.4681,124.9734,30.3215,23.5319,23.9989,-1.1363,-0.7205,-0.7576,3.8148,2.9127,3.3667,-41959481344,-37230223360,-36367020032,1
66,231946,1800.8101,678.9835,436.4881,0.766,0.9922,0.7924,1.5556,0.8988,0.8004,0.0029,0.0019,0.9965,104.8716,102.1755,111.7534,24.2007,20.5286,21.8023,-0.6461,0.0917,-0.3061,3.1537,3.5782,3.2341,-25391267840,-23603490816,-28687542272,1
67,218006,1754.282,671.6726,414.585,0.7868,0.993,0.8089,1.6201,0.8902,0.7844,0.0031,0.0019,0.9968,108.7587,99.0594,102.7426,33.4516,26.0414,17.7392,0.047,0.1642,0.2835,2.0128,2.3344,4.0136,-27197134848,-21465534464,-22162524160,1
68,272074,2031.781,778.5798,446.9384,0.8188,0.9823,0.8072,1.742,0.8282,0.756,0.0029,0.0016,0.9955,128.3337,125.9642,108.5967,31.1858,31.4921,31.0783,-0.7508,-0.5063,-0.3787,3.0403,2.5393,2.5903,-46827319296,-45142360064,-33304205312,1
69,222790,1766.324,651.6551,436.6493,0.7423,0.9932,0.7893,1.4924,0.8974,0.8173,0.0029,0.002,0.9969,121.6701,116.8578,110.7202,37.2069,34.0592,29.5728,-0.6398,-0.569,-0.517,2.2621,2.1012,2.3364,-35503251456,-32167600128,-28105680896,1
70,332286,2287.0071,875.3194,485.2886,0.8322,0.9807,0.7192,1.8037,0.7983,0.7431,0.0026,0.0015,0.996,120.0967,110.2773,110.3306,31.083,32.3166,26.7386,-0.1188,0.285,0.1151,2.4661,2.2097,2.6593,-49918324736,-42323034112,-40995770368,1
71,265701,1968.802,746.8929,454.7724,0.7933,0.992,0.7619,1.6423,0.8614,0.7787,0.0028,0.0017,0.996,125.6485,117.7338,110.843,33.6703,31.8466,25.5885,-0.3492,-0.1841,0.1484,2.2009,2.3465,2.531,-44338049024,-38484541440,-32898990080,1
72,213610,1742.515,644.6515,422.7329,0.755,0.9896,0.7795,1.525,0.8841,0.809,0.003,0.002,0.998,118.8714,112.0974,107.2945,37.6554,37.7021,28.4572,0.0064,0.2666,-0.262,2.0896,1.9188,2.5203,-32635742208,-29119576064,-25118382080,1
73,267823,1988.671,781.2097,441.0466,0.8254,0.9915,0.8212,1.7713,0.851,0.7475,0.0029,0.0016,0.9897,122.736,111.2873,119.6024,29.516,20.6989,20.5735,-0.5255,-0.0949,-0.4587,2.9397,3.2605,3.9097,-41729191936,-32681768960,-38074142720,1
74,235942,1893.777,744.0038,404.7032,0.8391,0.9831,0.7383,1.8384,0.8267,0.7367,0.0032,0.0017,0.9977,115.7687,111.2267,104.8903,30.8715,28.5026,24.5829,-0.3471,-0.1928,-0.2256,2.5077,2.215,2.5069,-32840615936,-29875372032,-25902360576,1
75,261890,2027.2321,697.621,482.5237,0.7222,0.9751,0.6875,1.4458,0.8008,0.8277,0.0027,0.0018,0.9906,130.7202,126.0636,113.2904,37.1222,33.0479,29.1683,-0.3579,-0.0193,-0.2971,2.4955,2.3934,2.7137,-48176062464,-43876425728,-34554867712,1
76,285100,2053.1699,791.5107,463.6347,0.8105,0.9897,0.8314,1.7072,0.8499,0.7612,0.0028,0.0016,0.9892,120.8366,104.4141,117.427,28.9185,23.8252,22.7962,-0.2599,0.246,-0.2731,2.5787,2.882,2.963,-42902253568,-30888830976,-39320027136,1
77,326556,2313.791,856.9423,487.3175,0.8226,0.9792,0.7402,1.7585,0.7665,0.7525,0.0026,0.0015,0.9956,128.1456,119.2813,110.4533,33.9892,34.8911,30.1728,-0.277,0.0137,0.2855,2.3932,2.0011,2.4371,-56812896256,-49415905280,-41182121984,1
78,225074,1813.77,695.2525,413.8533,0.8035,0.9921,0.6485,1.6799,0.8597,0.77,0.0031,0.0018,0.996,133.2137,131.1914,123.1026,39.3223,36.7316,30.5074,-0.4867,-0.415,-0.1159,2.1231,2.0942,2.3676,-43480784896,-41622204416,-35467997184,1
80,277321,2136.825,687.59,517.3867,0.6586,0.976,0.7801,1.329,0.7632,0.8642,0.0025,0.0019,0.9925,119.6558,110.7807,108.2498,37.7822,38.1279,31.9226,0.0776,0.3716,-0.0522,2.1739,2.0325,2.2231,-42962149376,-37067022336,-33927698432,1
81,270195,2019.839,773.6254,446.5426,0.8166,0.9838,0.806,1.7325,0.8322,0.7582,0.0029,0.0017,0.9958,126.932,121.2073,107.2874,31.2941,29.9054,29.7242,-0.749,-0.4518,-0.3009,3.0056,2.6238,2.6948,-45486370816,-41105539072,-32008726528,1
82,218442,1739.191,643.4506,434.7849,0.7372,0.9927,0.8075,1.4799,0.9075,0.8196,0.0029,0.002,0.9942,128.1654,119.8585,118.3075,32.0673,28.5678,26.2454,-0.5665,-0.0865,-0.1232,2.9237,2.4584,2.7929,-37653753856,-32274780160,-31069640704,1
83,271398,1965.458,750.8526,461.674,0.7886,0.9942,0.7383,1.6264,0.8829,0.7829,0.0028,0.0017,0.9968,148.2023,146.3578,137.9331,30.3088,26.0294,25.1754,-0.9647,-0.7015,-0.7203,3.4219,3.1322,3.5643,-62793175040,-60339191808,-53070114816,1
84,253276,1961.04,740.2677,437.3487,0.8068,0.9822,0.7493,1.6926,0.8276,0.7671,0.0029,0.0017,0.9961,128.9011,122.8898,116.7883,38.2442,36.7809,30.8667,-0.2763,-0.1524,-0.1425,2.092,1.9879,2.1549,-45574098944,-41109114880,-35898662912,1
85,215340,1741.5811,656.6985,418.8187,0.7702,0.9936,0.7427,1.568,0.8922,0.7974,0.003,0.0019,0.9969,111.3767,106.4466,105.8537,28.4506,28.4351,23.5702,-0.3515,-0.0035,-0.3479,2.7718,2.2923,3.4696,-27327836160,-24920774656,-23962402816,1
86,248661,1888.577,679.4809,468.2696,0.7246,0.9825,0.7685,1.451,0.8761,0.8281,0.0027,0.0019,0.995,106.7872,102.0841,115.7485,27.5297,22.992,26.1811,-0.53,-0.0614,-0.442,2.5972,2.9335,2.7133,-28791433216,-25580019712,-33773629440,1
87,161461,1519.229,583.6688,352.6311,0.7969,0.994,0.6822,1.6552,0.8791,0.7768,0.0036,0.0022,0.9988,123.015,114.07,117.5514,31.6177,28.0442,29.8898,-0.9984,-0.5174,-0.9741,3.3982,2.7715,3.2434,-25518503936,-21472477184,-23048691712,1
88,270495,1909.204,680.4979,506.7375,0.6674,0.993,0.7761,1.3429,0.9325,0.8624,0.0025,0.0019,0.9988,102.5699,91.1522,91.8557,37.1153,34.503,25.1498,0.3899,0.8048,0.349,2.543,2.9684,2.9549,-30938501120,-24201478144,-22697836544,1
90,254070,1919.738,730.9252,445.2328,0.7931,0.9926,0.6931,1.6417,0.8663,0.7781,0.0029,0.0018,0.994,135.9247,123.0017,123.6408,28.1258,17.5106,20.5985,-1.0129,-0.5711,-0.386,3.9627,3.8814,3.0252,-48657485824,-37974151168,-38776930304,1
91,206921,1741.754,675.7445,392.1072,0.8144,0.9924,0.6815,1.7234,0.8571,0.7596,0.0033,0.0019,0.9943,137.9613,131.2119,120.7815,36.5473,31.1905,23.7996,-0.8241,-0.5959,-0.3047,2.9013,2.5624,2.7099,-42309525504,-37289373696,-30410612736,1
92,180508,1600.713,607.4841,379.2685,0.7812,0.9938,0.7906,1.6017,0.8853,0.7892,0.0034,0.0021,0.9975,133.5625,126.4289,120.8297,36.2546,33.9226,32.3695,-0.7129,-0.5277,-0.451,2.6209,2.3057,2.1964,-34515537920,-30535002112,-27629987840,1
93,296944,2109.8491,796.0836,475.9379,0.8016,0.9871,0.7727,1.6727,0.8383,0.7724,0.0027,0.0016,0.9979,130.0522,116.2072,118.6973,32.6442,28.7825,28.4512,-0.278,0.1989,-0.3441,2.6659,2.5351,2.9826,-52902526976,-41217187840,-42963533824,1
94,163130,1535.853,603.0044,345.0351,0.8201,0.9946,0.7443,1.7477,0.869,0.7558,0.0037,0.0021,0.9983,143.3447,140.078,131.607,37.5416,34.4112,33.7438,-0.9669,-0.8138,-0.7316,3.0404,2.7231,2.6219,-36209770496,-34095622144,-29915756544,1
95,232841,1773.947,622.0897,477.5462,0.6409,0.9935,0.7671,1.3027,0.9298,0.8752,0.0027,0.0021,0.9979,135.2503,130.3835,127.9191,36.9885,31.8359,33.9523,-1.0349,-0.8655,-0.8101,3.4213,3.0476,2.7413,-45804568576,-41521836032,-40328445952,1
96,247112,1885.546,694.2448,455.8577,0.7542,0.9899,0.8016,1.5229,0.8734,0.808,0.0028,0.0018,0.9942,117.5797,101.5464,102.1078,37.8921,36.0368,27.3096,0.1312,0.6394,0.1991,2.5917,2.6959,3.0646,-37011718144,-27508269056,-26094850048,1
97,246014,1883.0909,703.1213,448.6442,0.77,0.9893,0.7861,1.5672,0.8718,0.796,0.0029,0.0018,0.993,114.739,95.8486,110.9815,40.5753,36.7295,31.6919,0.2692,0.5336,-0.2604,2.3775,2.3673,2.6215,-35782496256,-24676982784,-31586891776,1
100,154570,1469.786,535.559,368.1646,0.7262,0.9913,0.7262,1.4547,0.8991,0.8283,0.0035,0.0024,0.9981,127.487,130.1564,129.6758,37.8613,35.8514,36.2096,-0.6703,-0.6783,-0.6766,2.4375,2.3249,2.5656,-27131885568,-27996452864,-27836606464,1
101,260999,1924.509,670.0057,499.8724,0.6659,0.9813,0.7962,1.3404,0.8855,0.8604,0.0026,0.0019,0.9922,96.0935,78.9226,86.5607,28.8245,26.6896,22.673,0.1093,1.235,0.3894,2.8856,4.316,3.9635,-24630673408,-16425602048,-19050479616,1
102,212744,1720.303,628.2148,432.3847,0.7254,0.9918,0.7818,1.4529,0.9034,0.8285,0.003,0.002,0.9972,110.8176,109.6777,105.2265,37.4939,37.8608,30.306,-0.1291,-0.3708,-0.2504,1.9579,2.138,2.4907,-28291532800,-27781709824,-24325011456,1
103,261085,1933.101,729.5468,458.4311,0.7779,0.9909,0.7887,1.5914,0.878,0.7903,0.0028,0.0018,0.994,148.7853,146.4621,135.269,30.4926,22.2659,21.0393,-0.9532,-0.231,-0.2944,3.704,2.4169,2.4991,-60942561280,-57532338176,-48362651648,1
104,219065,1769.278,677.1313,414.3256,0.7909,0.9937,0.8082,1.6343,0.8794,0.78,0.0031,0.0019,0.9942,133.6267,133.1134,125.6804,35.7477,30.4154,25.7112,-0.8619,-0.5562,-0.1746,3.067,2.9376,2.7661,-41819258880,-40538902528,-35279843328,1
105,179780,1605.504,588.5084,390.5041,0.7481,0.989,0.8072,1.507,0.8765,0.813,0.0033,0.0022,0.996,120.1332,111.0036,103.2492,31.9253,28.3657,26.0032,-0.4392,-0.0602,0.0904,2.5444,2.3567,2.7728,-27132274688,-22657073152,-19264600064,1
106,169573,1548.983,594.8965,364.4516,0.7904,0.9932,0.8245,1.6323,0.8881,0.7811,0.0035,0.0021,0.9958,139.1674,134.8492,123.4979,39.941,37.6941,31.7931,-0.816,-0.6504,-0.6257,2.4879,2.1186,2.4125,-35847098368,-33293408256,-27052677120,1
107,236515,1795.649,604.2608,502.4642,0.5555,0.9923,0.8096,1.2026,0.9218,0.9082,0.0026,0.0021,0.9918,122.9294,111.8094,117.7575,32.1344,29.2939,31.5135,-0.4363,-0.0467,-0.0668,2.5883,2.4984,2.4214,-37450448896,-30408593408,-34214080512,1
108,248928,1888.111,719.0459,443.0684,0.7876,0.9906,0.7908,1.6229,0.8775,0.783,0.0029,0.0018,0.9948,109.2852,94.3835,111.0067,34.5058,29.3068,27.0055,-0.0535,0.5505,-0.3706,2.6308,2.7116,2.8246,-31564376064,-22769612800,-31131815936,1
109,233279,1812.4,649.0758,459.3955,0.7064,0.9865,0.7785,1.4129,0.8924,0.8396,0.0028,0.002,0.9961,113.9909,105.3298,107.9339,36.4504,38.6125,29.392,-0.1454,0.2381,-0.1816,2.2934,1.9759,2.4983,-32555407360,-28394031104,-27923378176,1
110,226401,1787.076,679.6693,425.3827,0.7799,0.9934,0.7878,1.5978,0.8908,0.7899,0.003,0.0019,0.997,125.6498,108.6357,108.9998,36.336,32.3742,28.6992,-0.3623,0.1163,-0.2136,2.4403,2.2238,2.435,-38306926592,-27985954816,-27535411200,1
111,246558,1865.2419,664.2224,475.3474,0.6985,0.9865,0.7367,1.3973,0.8906,0.8435,0.0027,0.0019,0.9943,136.5562,131.0401,125.8078,37.7801,34.99,30.7168,-0.4969,-0.0506,-0.2251,2.5611,1.766,1.9373,-49681387520,-45122826240,-40668385280,1
112,318444,2127.3269,805.9418,504.5724,0.7798,0.9938,0.7874,1.5973,0.8842,0.7901,0.0025,0.0016,0.997,123.4286,113.0875,118.9254,33.8065,33.8134,25.8882,-0.1618,-0.0153,-0.9316,2.1822,1.6896,3.7494,-51299794944,-43035037696,-45686091776,1
113,248660,1877.7,696.1558,456.765,0.7547,0.9922,0.7863,1.5241,0.8863,0.8083,0.0028,0.0018,0.9957,141.6611,142.3818,128.6064,33.4362,33.1596,29.8043,-0.7849,-0.7132,-0.6829,2.8531,2.5792,2.5921,-52980715520,-53485248512,-42727874560,1
114,300532,2084.9929,782.9263,492.0452,0.7778,0.9832,0.7703,1.5912,0.8687,0.7901,0.0026,0.0016,0.9933,127.8597,108.6323,100.6614,28.8416,23.2769,21.1306,-0.9806,-0.2954,0.0506,3.6664,3.0674,3.5316,-50794856448,-35256672256,-29725554688,1
115,239253,1839.9301,670.9352,455.55,0.7342,0.9887,0.7912,1.4728,0.8881,0.8226,0.0028,0.0019,0.9967,123.3848,117.6199,114.9063,29.8257,23.692,24.8281,-1.0003,-0.6473,-0.5504,3.3784,2.8802,2.8941,-37722738688,-33228630016,-31799359488,1
117,197484,1709.35,648.6502,391.0428,0.7978,0.989,0.7807,1.6588,0.8493,0.7731,0.0033,0.002,0.9913,135.2943,124.0971,121.8252,32.2357,27.1906,23.7059,-0.9103,-0.3897,-0.466,3.3831,2.7717,3.4633,-38071001088,-31158208512,-29541638144,1
118,242874,1843.916,647.9982,479.8817,0.672,0.9906,0.7818,1.3503,0.8977,0.8582,0.0027,0.002,0.9945,133.0381,125.3597,113.8121,38.7604,35.6419,28.3122,-0.6166,-0.4509,-0.3694,2.4534,2.2759,2.5079,-46650236928,-40748339200,-32199612416,1
119,338670,2195.106,792.2873,546.0946,0.7245,0.9893,0.7525,1.4508,0.8832,0.8288,0.0023,0.0016,0.9966,97.3855,86.1272,105.7102,37.6634,33.6702,29.3294,0.5578,0.5537,-0.2319,2.3073,2.3239,2.4766,-35296911360,-26996934656,-38844313600,1
120,205893,1693.483,615.3438,428.3036,0.718,0.9902,0.7873,1.4367,0.9022,0.8321,0.003,0.0021,0.9947,103.0847,102.4994,98.4797,30.3633,27.8581,27.2009,-0.1033,0.268,0.3068,2.3559,2.471,2.5771,-22602600448,-21991180288,-20189534208,1
121,246430,1910.897,732.1472,431.656,0.8077,0.9843,0.7295,1.6961,0.8481,0.7651,0.003,0.0018,0.9928,94.8991,84.2895,94.5223,31.8051,29.5955,29.9283,-0.0225,0.4803,0.2869,2.6366,2.7196,2.3129,-23210934272,-18102403072,-22705868800,1
122,189127,1660.097,621.9744,389.451,0.7797,0.9843,0.7777,1.5971,0.8624,0.789,0.0033,0.0021,0.9941,111.0473,106.4634,104.8819,31.4149,27.4387,24.5747,-0.5273,-0.173,-0.1635,2.669,2.577,3.0346,-24260653056,-21760227328,-20759107584,1
123,254321,1869.425,665.5273,489.1867,0.678,0.9899,0.7859,1.3605,0.9145,0.855,0.0026,0.0019,0.9946,125.7103,109.956,111.3801,38.0378,38.7884,27.7782,-0.0067,0.2731,-0.1502,2.0226,1.6076,2.0564,-43504730112,-33660418048,-32167581696,1
125,237021,1826.079,661.274,457.4288,0.7221,0.9936,0.7577,1.4456,0.8932,0.8307,0.0028,0.0019,0.9977,136.8769,138.452,126.0107,37.5304,32.8196,27.186,-0.5088,-0.5188,-0.4618,2.12,2.1627,2.163,-47932059648,-48059682816,-38609784832,1
126,320180,2153.5339,781.1882,525.6301,0.7398,0.9852,0.7633,1.4862,0.8676,0.8173,0.0024,0.0016,0.9928,78.2881,62.3648,82.6144,21.3922,19.6335,21.3107,0.5102,1.4296,0.6681,3.4984,7.1775,4.3282,-18838792192,-11710955520,-21023166464,1
127,237074,1827.438,676.1337,447.9627,0.749,0.9919,0.7295,1.5094,0.8921,0.8126,0.0029,0.0019,0.9966,120.4458,115.8135,107.3973,33.1932,28.3677,30.2848,-0.888,-0.7688,-0.4454,2.8917,2.8582,2.419,-36188073984,-32575666176,-28235442176,1
129,253677,1859.243,666.5269,486.7168,0.6832,0.9924,0.7955,1.3694,0.9222,0.8527,0.0026,0.0019,0.9956,116.0328,107.939,109.669,34.3566,36.7052,36.0078,-0.242,-0.1948,-0.0143,2.1349,1.9047,2.114,-36193017856,-31869222912,-32727050240,1
